speaker,topic,prob
Camus,4,0.076880116
Camus,10,0.331111595
Camus,14,0.063552883
Camus,17,0.021423731
Camus,27,0.033342773
Camus,32,0.088866916
Camus,45,0.009653381
Camus,60,0.139294876
Camus,70,0.228782198
Camus,87,0.007091532
Thouret,4,0.078438653
Thouret,10,0.315266315
Thouret,14,0.029267879
Thouret,17,0.124120784
Thouret,27,1.01E-03
Thouret,32,0.199660149
Thouret,45,0.016893424
Thouret,60,0.137833461
Thouret,70,0.091746358
Thouret,87,0.005760031
Regnaud,4,0.06047472
Regnaud,10,0.141709439
Regnaud,14,0.010493113
Regnaud,17,0.020766157
Regnaud,27,0.001708721
Regnaud,32,0.050044812
Regnaud,45,0.008559089
Regnaud,60,0.093733467
Regnaud,70,0.593442812
Regnaud,87,0.019067671
L'abbé Maury,4,0.027646875
L'abbé Maury,10,0.038119446
L'abbé Maury,14,0.006623837
L'abbé Maury,17,0.009738354
L'abbé Maury,27,0.000166758
L'abbé Maury,32,0.010224189
L'abbé Maury,45,0.001240134
L'abbé Maury,60,0.198875696
L'abbé Maury,70,0.009681281
L'abbé Maury,87,0.002433933
Le Chapelier,4,0.011786292
Le Chapelier,10,0.060993395
Le Chapelier,14,0.00243624
Le Chapelier,17,0.007416915
Le Chapelier,27,0.000570209
Le Chapelier,32,0.01376019
Le Chapelier,45,0.003496153
Le Chapelier,60,0.01924483
Le Chapelier,70,0.017313095
Le Chapelier,87,0.002204172
D'andré,4,0.013640152
D'andré,10,0.073584562
D'andré,14,0.001911042
D'andré,17,0.005634965
D'andré,27,0.000220231
D'andré,32,0.010432183
D'andré,45,0.003665119
D'andré,60,0.033816856
D'andré,70,0.012468887
D'andré,87,0.001084315
Démeunier,4,0.009099624
Démeunier,10,0.045245031
Démeunier,14,0.00168757
Démeunier,17,0.007007463
Démeunier,27,0.000189392
Démeunier,32,0.008672117
Démeunier,45,0.001811749
Démeunier,60,0.018773664
Démeunier,70,0.011516424
Démeunier,87,0.002160796
Mirabeau,4,0.063741296
Mirabeau,10,0.101942639
Mirabeau,14,0.00413197
Mirabeau,17,0.004290712
Mirabeau,27,0.000217277
Mirabeau,32,0.015087285
Mirabeau,45,0.001591925
Mirabeau,60,0.043558953
Mirabeau,70,0.009986117
Mirabeau,87,0.001606307
Biauzat,4,0.012498464
Biauzat,10,0.038442737
Biauzat,14,0.003157958
Biauzat,17,0.004084704
Biauzat,27,0.000203874
Biauzat,32,0.007562737
Biauzat,45,0.001856318
Biauzat,60,0.012578355
Biauzat,70,0.130704786
Biauzat,87,0.001324913
Goupil,4,0.012887787
Goupil,10,0.072911974
Goupil,14,0.007546014
Goupil,17,0.019494609
Goupil,27,0.002437476
Goupil,32,0.014242889
Goupil,45,0.002386632
Goupil,60,0.019813385
Goupil,70,0.110368563
Goupil,87,0.000706981

